St  Name                           Version                        Arch   Description                                                  Licenses
ii  libcryptsetup4:armhf           2:1.7.3-4                      armhf  disk encryption support - shared library                     GPL-2+ LGPL-2.1+ public-domain
ii  libcups2:armhf                 2.2.1-8+deb9u2                 armhf  Common UNIX Printing System(tm) - Core library               BSD-2-clause GPL-2.0 with AOSDL exception LGPL-2.0 with AOSDL exception Zlib
ii  libcupsfilters1:armhf          1.11.6-3+rpi1                  armhf  OpenPrinting CUPS Filters - Shared library                   BSD-4-clause Expat GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL-2 LGPL-2.1+
ii  libcupsimage2:armhf            2.2.1-8+deb9u2                 armhf  Common UNIX Printing System(tm) - Raster image library       BSD-2-clause GPL-2.0 with AOSDL exception LGPL-2.0 with AOSDL exception Zlib
ii  libcurl3:armhf                 7.52.1-5+deb9u8                armhf  easy-to-use client-side URL transfer library (OpenSSL flavou BSD-3-Clause BSD-4-Clause curl ISC other public-domain
ii  libcurl3-gnutls:armhf          7.52.1-5+deb9u8                armhf  easy-to-use client-side URL transfer library (GnuTLS flavour BSD-3-Clause BSD-4-Clause curl ISC other public-domain
ii  libcwidget3v5:armhf            0.5.17-4                       armhf  high-level terminal interface library for C++ (runtime files GPL
ii  libdaemon0:armhf               0.14-6                         armhf  lightweight C library for daemons - runtime library          GPL-2 LGPL
ii  libdatrie1:armhf               0.2.10-4                       armhf  Double-array trie library                                    GPL-2+ LGPL-2.1+
ii  libdb5.3:armhf                 5.3.28-12+deb9u1               armhf  Berkeley v5.3 Database Libraries [runtime]                   unknown
ii  libdbus-1-3:armhf              1.10.26-0+deb9u1               armhf  simple interprocess messaging system (library)               AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat g10-permissive GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish
ii  libdbus-glib-1-2:armhf         0.108-2                        armhf  simple interprocess messaging system (GLib-based shared libr AFL-2.1 Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1 or Expat
ii  libdc1394-22:armhf             2.2.5-1                        armhf  high level programming interface for IEEE 1394 digital camer GPL-2 LGPL-2.1
ii  libdca0:armhf                  0.0.5-10                       armhf  decoding library for DTS Coherent Acoustics streams          GPL-2+ LGPL-2+
ii  libdconf1:armhf                0.26.0-2                       armhf  simple configuration storage system - runtime library        GPL-3 LGPL-2+
ii  libde265-0:armhf               1.0.2-2+rpi1+b4                armhf  Open H.265 video codec implementation                        BSD-4-clause GPL-3+ LGPL-3+ other-1 public-domain-1 public-domain-2
ii  libdebconfclient0:armhf        0.227                          armhf  Debian Configuration Management System (C-implementation lib public domain
ii  libdevmapper1.02.1:armhf       2:1.02.137-2                   armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  libdjvulibre-text              3.5.27.1-7                     all    Linguistic support files for libdjvulibre                    GPL-2
ii  libdjvulibre21:armhf           3.5.27.1-7                     armhf  Runtime support for the DjVu image format                    GPL-2
ii  libdns-export162               1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Exported DNS Shared Library                                  unknown
ii  libdns162:armhf                1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  DNS Shared Library used by BIND                              unknown
ii  libdouble-conversion1:armhf    2.0.1-4                        armhf  routines to convert IEEE floats to and from strings          BSD-3-clause
ii  libdpkg-perl                   1.18.25                        all    Dpkg perl modules                                            BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  libdrm-amdgpu1:armhf           2.4.74-1                       armhf  Userspace interface to amdgpu-specific kernel DRM services - unknown
ii  libdrm-freedreno1:armhf        2.4.74-1                       armhf  Userspace interface to msm/kgsl kernel DRM services -- runti unknown
ii  libdrm-nouveau2:armhf          2.4.74-1                       armhf  Userspace interface to nouveau-specific kernel DRM services  unknown
ii  libdrm-radeon1:armhf           2.4.74-1                       armhf  Userspace interface to radeon-specific kernel DRM services - unknown
ii  libdrm2:armhf                  2.4.74-1                       armhf  Userspace interface to kernel DRM services -- runtime        unknown
ii  libdv4:armhf                   1.0.0-11                       armhf  software library for DV format digital video (runtime lib)   GPL-2+ LGPL-2.1+
ii  libdvbpsi10:armhf              1.3.0-5                        armhf  library for MPEG TS and DVB PSI tables decoding and generati GPL-2+ LGPL-2.1+
ii  libdvdnav4:armhf               5.0.3-3                        armhf  DVD navigation library                                       GPL-2+
ii  libdvdread4:armhf              5.0.3-2                        armhf  library for reading DVDs                                     GPL-2+
ii  libdw1:armhf                   0.168-1                        armhf  library that provides access to the DWARF debug information  GPL-2 GPL-3 LGPL
ii  libebml4v5:armhf               1.3.4-1                        armhf  access library for the EBML format (shared library)          GPL-2+ LGPL-2.1
ii  libebur128-1:armhf             1.2.2-2                        armhf  implementation of the EBU R128 loudness standard             BSD-3-clause Expat
ii  libedit2:armhf                 3.1-20160903-3                 armhf  BSD editline and history libraries                           unknown
ii  libegl1-mesa:armhf             13.0.6-1+rpi2                  armhf  free implementation of the EGL API -- runtime                GPL LGPL
ii  libelf1:armhf                  0.168-1                        armhf  library to read and write ELF files                          GPL-2 GPL-3 LGPL
ii  libenchant1c2a:armhf           1.6.0-11+b1                    armhf  Wrapper library for various spell checker engines (runtime l LGPL-2.1
ii  libepoxy0:armhf                1.3.1-2                        armhf  OpenGL function pointer management library                   Expat
ii  liberror-perl                  0.17024-1                      all    Perl module for error/exception handling in an OO-ish way    Artistic Artistic or GPL-1+ GPL-1+ MIT/X11
ii  libesd0:armhf                  0.2.41-11                      armhf  Enlightened Sound Daemon - Shared libraries                  GPL-2 LGPL-2
ii  libestr0                       0.1.10-2                       armhf  Helper functions for handling strings (lib)                  LGPL-2.1
ii  libevdev2:armhf                1.5.6+dfsg-1                   armhf  wrapper library for evdev devices                            GPL-2 GPL-2+ X11
ii  libevent-2.0-5:armhf           2.0.21-stable-3                armhf  Asynchronous event notification library                      BSD license
ii  libexif12:armhf                0.6.21-2                       armhf  library to parse EXIF files                                  BSD-2-Clause GPL-2+ LGPL-2.1+
ii  libexpat1:armhf                2.2.0-2+deb9u1                 armhf  XML parsing C library - runtime library                      unknown
ii  libexpat1-dev:armhf            2.2.0-2+deb9u1                 armhf  XML parsing C library - development kit                      unknown
ii  libfaad2:armhf                 2.8.0~cvs20161113-1+deb9u1     armhf  freeware Advanced Audio Decoder - runtime files              GPL-2 GPL-2+ MPL-1.1 other
ii  libfakeroot:armhf              1.21-3.1                       armhf  tool for simulating superuser privileges - shared libraries  Artistic GPL-3
ii  libfastjson4:armhf             0.99.4-1                       armhf  fast json library for C                                      Apache-2.0 Expat
ii  libfdisk1:armhf                2.29.2-1+deb9u1                armhf  fdisk partitioning library                                   BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libffi6:armhf                  3.2.1-6                        armhf  Foreign Function Interface library runtime                   GPL
ii  libfftw3-double3:armhf         3.3.5-3                        armhf  Library for computing Fast Fourier Transforms - Double preci GPL-2
ii  libfftw3-single3:armhf         3.3.5-3                        armhf  Library for computing Fast Fourier Transforms - Single preci GPL-2
ii  libfile-fcntllock-perl         0.22-3+b2                      armhf  Perl module for file locking with fcntl(2)                   Artistic Artistic or GPL-1+ GPL-1+
ii  libflac8:armhf                 1.3.2-1                        armhf  Free Lossless Audio Codec - runtime C library                BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflite1:armhf                2.0.0-release-3                armhf  Small run-time speech synthesis engine - shared libraries    GPL-2 GPL-3
ii  libfltk1.3:armhf               1.3.4-4                        armhf  Fast Light Toolkit - main shared library                     FreeGLUT JPEG LGPL-2+ with static linking exception PNG SGI-OpenGL Zlib
ii  libfluidsynth1:armhf           1.1.6-4                        armhf  Real-time MIDI software synthesizer (runtime library)        CUSTOM_LICENSE GPL-2.1+ LGPL-2+ LGPL-2.1+ MIT/X11
ii  libfm-data                     1.2.5-1+rpi6                   all    file management support (common data)                        GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfm-extra4:armhf             1.2.5-1+rpi6                   armhf  file management support (extra library)                      GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfm-gtk-data                 1.2.5-1+rpi6                   all    file management support (GTK+ library common data)           GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfm-gtk4:armhf               1.2.5-1+rpi6                   armhf  file management support (GTK+ 2.0 GUI library)               GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfm-modules:armhf            1.2.5-1+rpi6                   armhf  file management support (loadable modules for library)       GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfm4:armhf                   1.2.5-1+rpi6                   armhf  file management support (core library)                       GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libfontconfig1:armhf           2.11.0-6.7                     armhf  generic font configuration library - runtime                 unknown
ii  libfontenc1:armhf              1:1.1.3-1                      armhf  X11 font encoding library                                    unknown
ii  libfreetype6:armhf             2.6.3-3.2                      armhf  FreeType 2 font engine, shared library files                 BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libfreetype6-dev               2.6.3-3.2                      armhf  FreeType 2 font engine, development files                    BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libfribidi0:armhf              0.19.7-1                       armhf  Free Implementation of the Unicode BiDi algorithm            LGPL-2.1+
ii  libfuse2:armhf                 2.9.7-1+deb9u2                 armhf  Filesystem in Userspace (library)                            GPL-2 GPL-2+ LGPL-2
ii  libgbm1:armhf                  13.0.6-1+rpi2                  armhf  generic buffer management API -- runtime                     GPL LGPL
ii  libgcc-6-dev:armhf             6.3.0-18+rpi1+deb9u1           armhf  GCC support library (development files)                      Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgcc1:armhf                  1:6.3.0-18+rpi1+deb9u1         armhf  GCC support library                                          Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgck-1-0:armhf               3.20.0-5.1                     armhf  Glib wrapper library for PKCS#11 - runtime                   bzip2-1.0.5 LGPL-2.1+
ii  libgconf-2-4:armhf             3.2.6-4                        armhf  GNOME configuration database system (shared libraries)       LGPL-2
ii  libgcr-3-common                3.20.0-5.1                     all    Library for Crypto UI related tasks - common files           bzip2-1.0.5 LGPL-2.1+
ii  libgcr-base-3-1:armhf          3.20.0-5.1                     armhf  Library for Crypto related tasks                             bzip2-1.0.5 LGPL-2.1+
ii  libgcrypt20:armhf              1.7.6-2+deb9u3                 armhf  LGPL Crypto library - runtime library                        GPL-2 LGPL
ii  libgd3:armhf                   2.2.4-2+deb9u2                 armhf  GD Graphics Library                                          BSD-3-clause GAP~configure GAP~Makefile.in GD GPL-2+ GPL-2+ with Autoconf exception HPND MIT WEBP XFIG
ii  libgdata-common                0.17.6-2                       all    Library for accessing GData webservices - common data files  LGPL-2.1+
ii  libgdata22:armhf               0.17.6-2                       armhf  Library for accessing GData webservices - shared libraries   LGPL-2.1+
ii  libgdbm3:armhf                 1.8.3-14                       armhf  GNU dbm database routines (runtime version)                  GPL-2
ii  libgdk-pixbuf2.0-0:armhf       2.36.5-2+deb9u2                armhf  GDK Pixbuf library                                           GPL-2 LGPL-2
ii  libgdk-pixbuf2.0-common        2.36.5-2+deb9u2                all    GDK Pixbuf library - data files                              GPL-2 LGPL-2
ii  libgeoip1:armhf                1.6.9-4                        armhf  non-DNS IP-to-country resolver library                       ISC LGPL-2.1+
ii  libgfortran3:armhf             6.3.0-18+rpi1+deb9u1           armhf  Runtime library for GNU Fortran applications                 Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgif7:armhf                  5.1.4-0.4                      armhf  library for GIF images (library)                             MIT
ii  libgirepository-1.0-1:armhf    1.50.0-1                       armhf  Library for handling GObject introspection data (runtime lib BSD-2-clause GPL-2+ LGPL-2+ MIT
ii  libgksu2-0                     2.0.13~pre1-9                  armhf  library providing su and sudo functionality                  LGPL-2
ii  libgl1-mesa-dri:armhf          13.0.6-1+rpi2                  armhf  free implementation of the OpenGL API -- DRI modules         GPL LGPL
ii  libgl1-mesa-glx:armhf          13.0.6-1+rpi2                  armhf  free implementation of the OpenGL API -- GLX runtime         GPL LGPL
ii  libglapi-mesa:armhf            13.0.6-1+rpi2                  armhf  free implementation of the GL API -- shared library          GPL LGPL
ii  libgles1-mesa:armhf            13.0.6-1+rpi2                  armhf  free implementation of the OpenGL|ES 1.x API -- runtime      GPL LGPL
ii  libgles2-mesa:armhf            13.0.6-1+rpi2                  armhf  free implementation of the OpenGL|ES 2.x API -- runtime      GPL LGPL
ii  libglew2.0:armhf               2.0.0-3                        armhf  OpenGL Extension Wrangler - runtime environment              BSD-3-clause Expat GPL-2+ Mesa
ii  libglib2.0-0:armhf             2.50.3-2                       armhf  GLib library of C routines                                   LGPL
ii  libglib2.0-bin                 2.50.3-2                       armhf  Programs for the GLib library                                LGPL
ii  libglib2.0-data                2.50.3-2                       all    Common files for GLib library                                LGPL
ii  libglu1-mesa:armhf             9.0.0-2.1                      armhf  Mesa OpenGL utility library (GLU)                            GPL-2 LGPL-2 SGI-1.1 SGI-2
ii  libgme0:armhf                  0.6.0-4                        armhf  Playback library for video game music files - shared library LGPL-2.1
ii  libgmp10:armhf                 2:6.1.2+dfsg-1                 armhf  Multiprecision arithmetic library                            GPL GPL-2 GPL-3 LGPL-3
ii  libgnome-desktop-3-12:armhf    3.22.2-1                       armhf  Utility library for loading .desktop files - runtime files   Expat LGPL-2+
ii  libgnome-keyring-common        3.12.0-1                       all    GNOME keyring services library - data files                  GPL-2 LGPL-2
ii  libgnome-keyring0:armhf        3.12.0-1+b1                    armhf  GNOME keyring services library                               GPL-2 LGPL-2
ii  libgnome-menu-3-0              3.13.3-9                       armhf  GNOME implementation of the freedesktop menu specification   GPL-2
ii  libgnutls30:armhf              3.5.8-5+deb9u4                 armhf  GNU TLS library - main runtime library                       GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgoa-1.0-0b:armhf            3.22.5-1                       armhf  library for GNOME Online Accounts                            LGPL-2.1+
ii  libgoa-1.0-common              3.22.5-1                       all    library for GNOME Online Accounts - common files             LGPL-2.1+
ii  libgomp1:armhf                 6.3.0-18+rpi1+deb9u1           armhf  GCC OpenMP (GOMP) support library                            Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgpg-error0:armhf            1.26-2                         armhf  library for common error values and messages in GnuPG compon GPL-2.1+
ii  libgphoto2-6:armhf             2.5.12-1                       armhf  gphoto2 digital camera library                               BSD-3-Clause GPL-1 GPL-2 GPL-2+ GPL-3+ IJG LGPL-1.1+ LGPL-2+ LGPL-2.1+ LGPL-2+ or BSD-3-clause other-2 other-3 public-domain public-domain-1
ii  libgphoto2-port12:armhf        2.5.12-1                       armhf  gphoto2 digital camera port library                          BSD-3-Clause GPL-1 GPL-2 GPL-2+ GPL-3+ IJG LGPL-1.1+ LGPL-2+ LGPL-2.1+ LGPL-2+ or BSD-3-clause other-2 other-3 public-domain public-domain-1
ii  libgpm2:armhf                  1.20.4-6.2                     armhf  General Purpose Mouse - shared library                       GPL-2
ii  libgraphite2-3:armhf           1.3.10-1                       armhf  Font rendering engine for Complex Scripts -- library         Artistic or GPL-1+ GPL1+ | Artistic LGPL-2+ LGPL | other MPL-1.1 | GPL-2 | LGPL-2.1 other
ii  libgroupsock8:armhf            2016.11.28-1+deb9u1            armhf  multimedia RTSP streaming library (network interfaces and so LGPL-2.1+
ii  libgs9:armhf                   9.26a~dfsg-0+deb9u1            armhf  interpreter for the PostScript language and for PDF - Librar AGPL-3 AGPL-3+ AGPL-3+ with font exception Apache-2.0 BSD-3-Clause BSD-3-Clause~Adobe Expat Expat~Ghostgum Expat~SunSoft Expat~SunSoft with SunSoft exception FTL GAP~configure GPL GPL-2 GPL-2+ GPL-3+ ISC LGPL-2.1 NTP~Lucent NTP~Open NTP~WSU other public-domain ZLIB
ii  libgs9-common                  9.26a~dfsg-0+deb9u1            all    interpreter for the PostScript language and for PDF - common AGPL-3 AGPL-3+ AGPL-3+ with font exception Apache-2.0 BSD-3-Clause BSD-3-Clause~Adobe Expat Expat~Ghostgum Expat~SunSoft Expat~SunSoft with SunSoft exception FTL GAP~configure GPL GPL-2 GPL-2+ GPL-3+ ISC LGPL-2.1 NTP~Lucent NTP~Open NTP~WSU other public-domain ZLIB
ii  libgsm1:armhf                  1.0.13-4                       armhf  Shared libraries for GSM speech compressor                   unknown
ii  libgssapi-krb5-2:armhf         1.15-1+deb9u1                  armhf  MIT Kerberos runtime libraries - krb5 GSS-API Mechanism      GPL-2
ii  libgstreamer-plugins-bad1.0-0: 1.10.4-1                       armhf  GStreamer development files for libraries from the "bad" set LGPL
ii  libgstreamer-plugins-base0.10- 0.10.36-2                      armhf  GStreamer libraries from the "base" set                      LGPL
ii  libgstreamer-plugins-base1.0-0 1.10.4-1                       armhf  GStreamer libraries from the "base" set                      LGPL
ii  libgstreamer0.10-0:armhf       0.10.36-1.5                    armhf  Core GStreamer libraries and elements                        LGPL
ii  libgstreamer1.0-0:armhf        1.10.4-1                       armhf  Core GStreamer libraries and elements                        LGPL
ii  libgtk-3-0:armhf               3.22.11-1+rpi3                 armhf  GTK+ graphical user interface library                        Apache-2.0 Expat LGPL-2+ LGPL-2.1+ LGPL-2+ or other other
ii  libgtk-3-common                3.22.11-1+rpi3                 all    common files for the GTK+ graphical user interface library   Apache-2.0 Expat LGPL-2+ LGPL-2.1+ LGPL-2+ or other other
ii  libgtk2.0-0:armhf              2.24.31-2                      armhf  GTK+ graphical user interface library                        LGPL-2
ii  libgtk2.0-bin                  2.24.31-2                      armhf  programs for the GTK+ graphical user interface library       LGPL-2
ii  libgtk2.0-common               2.24.31-2                      all    common files for the GTK+ graphical user interface library   LGPL-2
ii  libgtop-2.0-10:armhf           2.34.2-1                       armhf  gtop system monitoring library (shared)                      GPL-2
ii  libgtop2-common                2.34.2-1                       all    gtop system monitoring library (common)                      GPL-2
ii  libgudev-1.0-0:armhf           230-3                          armhf  GObject-based wrapper library for libudev                    LGPL-2+
ii  libharfbuzz-icu0:armhf         1.4.2-1                        armhf  OpenType text shaping engine ICU backend                     MIT
ii  libharfbuzz0b:armhf            1.4.2-1                        armhf  OpenType text shaping engine (shared library)                MIT
ii  libhogweed4:armhf              3.3-1                          armhf  low level cryptographic library (public-key cryptos)         GAP GPL-2 GPL-2+ GPL-2+ with Autoconf exception LGPL-2+ LGPL-2.1+ other public-domain
ii  libhunspell-1.4-0:armhf        1.4.1-2                        armhf  spell checker and morphological analyzer (shared library)    GPL-2 LGPL-2.1
ii  libhyphen0:armhf               2.8.8-5                        armhf  ALTLinux hyphenation library - shared library                GPL-2+ GPL-2+ or LGPL-2.1+ or MPL-1.1+ LGPL-2.1+ MPL-1.1+
ii  libice6:armhf                  2:1.0.9-2                      armhf  X11 Inter-Client Exchange library                            unknown
ii  libicu57:armhf                 57.1-6+deb9u2                  armhf  International Components for Unicode                         unknown
ii  libid3tag0:armhf               0.15.1b-12                     armhf  ID3 tag reading library from the MAD project                 GPL
ii  libident                       0.22-3.1                       armhf  simple RFC1413 client library - runtime                      Public Domain
ii  libidn11:armhf                 1.33-1                         armhf  GNU Libidn library, implementation of IETF IDN specification GAP GFDL-1.3+ GPL-3+ LGPL-2.1+ LGPL-3+ or GPL-2+
ii  libidn2-0:armhf                0.16-1+deb9u1                  armhf  Internationalized domain names (IDNA2008) library            GPL-3+ LGPL-3+ or GPL-2+ Unicode
ii  libiec61883-0:armhf            1.2.0-2                        armhf  partial implementation of IEC 61883 (shared lib)             LGPL
ii  libijs-0.35:armhf              0.35-12                        armhf  IJS raster image transport protocol: shared library          Expat Expat~X Expat~X with X exception GAP GAP~configure GAP~Makefile.in GPL-2+ GPL-2+ with Autoconf exception
ii  libilmbase12:armhf             2.2.0-12                       armhf  several utility libraries from ILM used by OpenEXR           boost ilmbase
ii  libimlib2:armhf                1.4.8-1                        armhf  image loading, rendering, saving library                     unknown
ii  libimobiledevice6:armhf        1.2.0+dfsg-3.1                 armhf  Library for communicating with the iPhone and iPod Touch     GPL-3+. LGPL-2.1+
ii  libinput-bin                   1.6.3-1                        armhf  input device management and event handling library - udev qu Expat GPL-2
ii  libinput10:armhf               1.6.3-1                        armhf  input device management and event handling library - shared  Expat GPL-2
ii  libip4tc0:armhf                1.6.0+snapshot20161117-6       armhf  netfilter libip4tc library                                   Artistic-2 custom GPL-2 GPL-2+
ii  libip6tc0:armhf                1.6.0+snapshot20161117-6       armhf  netfilter libip6tc library                                   Artistic-2 custom GPL-2 GPL-2+
ii  libiptc0:armhf                 1.6.0+snapshot20161117-6       armhf  netfilter libiptc library                                    Artistic-2 custom GPL-2 GPL-2+
ii  libisc-export160               1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Exported ISC Shared Library                                  unknown
ii  libisc160:armhf                1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  ISC Shared Library used by BIND                              unknown
ii  libisccc140:armhf              1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Command Channel Library used by BIND                         unknown
ii  libisccfg140:armhf             1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Config File Handling Library used by BIND                    unknown
ii  libisl15:armhf                 0.18-1                         armhf  manipulating sets and relations of integer points bounded by BSD-2-clause LGPL-2.1+ MIT
ii  libiw30:armhf                  30~pre9-12                     armhf  Wireless tools - library                                     GPL-2 LGPL-2.1
ii  libjack-jackd2-0:armhf         1.9.10+20150825git1ed50c92~dfs armhf  JACK Audio Connection Kit (libraries)                        BSD-3-clause Expat Expat~modrequest GPL-2 GPL-2+ GPL-2~either GPL-2~jack-audio-connection-kit GPL-2~jackd2 GPL-2~or GPL-3+ LGPL-2+ LGPL-2.1+ None public-domain~Kroon
ii  libjavascriptcoregtk-3.0-0:arm 2.4.11-3+rpi1                  armhf  JavaScript engine library from WebKitGTK+                    GPL-2 LGPL-2
ii  libjavascriptcoregtk-4.0-18:ar 2.18.6-1~deb9u1+rpi1           armhf  JavaScript engine library from WebKitGTK+                    Apache-2.0 BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ ISC LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ MIT-X11 MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+ public-domain
ii  libjbig0:armhf                 2.1-3.1                        armhf  JBIGkit libraries                                            GPL-2+
ii  libjbig2dec0:armhf             0.13-4.1                       armhf  JBIG2 decoder library - shared libraries                     AGPL-3 AGPL-3+ BSD-2-clause GPL-3+ LGPL-2.1+ pubic-domain public-domain
ii  libjim0.76:armhf               0.76-2                         armhf  small-footprint implementation of Tcl - shared library       BSD-2-clause TCL
ii  libjpeg62-turbo:armhf          1:1.5.1-2                      armhf  libjpeg-turbo JPEG runtime library                           BSD-3 BSD-BY-LC-NE Expat
ii  libjs-jquery                   3.1.1-2                        all    JavaScript library for dynamic web applications              BSD-3-clause GPL-2 GPL-2 or MIT MIT MIT or BSD-3-clause or GPL-2
ii  libjson-glib-1.0-0:armhf       1.2.6-1                        armhf  GLib JSON manipulation library                               LGPL-2.1+
ii  libjson-glib-1.0-common        1.2.6-1                        all    GLib JSON manipulation library (common files)                LGPL-2.1+
ii  libk5crypto3:armhf             1.15-1+deb9u1                  armhf  MIT Kerberos runtime libraries - Crypto Library              GPL-2
ii  libkate1:armhf                 0.4.1-7+b1                     armhf  Codec for karaoke and text encapsulation                     GPL-2
ii  libkeybinder0                  0.3.1-1                        armhf  registers global key bindings for applications               GPL-2+ MIT public-domain
ii  libkeyutils1:armhf             1.5.9-9                        armhf  Linux Key Management Utilities (library)                     GPL-2+ LGPL-2+
ii  libklibc                       2.0.4-9+rpi1                   armhf  minimal libc subset for use with initramfs                   GPL-2
ii  libkmod2:armhf                 23-2                           armhf  libkmod shared library                                       GPL-2 LGPL-2.1
ii  libkrb5-3:armhf                1.15-1+deb9u1                  armhf  MIT Kerberos runtime libraries                               GPL-2
ii  libkrb5support0:armhf          1.15-1+deb9u1                  armhf  MIT Kerberos runtime libraries - Support library             GPL-2
ii  libksba8:armhf                 1.3.5-2                        armhf  X.509 and CMS support library                                GPL-3
ii  liblapack3                     3.7.0-2                        armhf  Library of linear algebra routines 3 - shared version        BSD-3-clause BSD-3-clause-intel
ii  liblcms2-2:armhf               2.8-4+deb9u1                   armhf  Little CMS 2 color management library                        GPL-2+ MIT
ii  libldap-2.4-2:armhf            2.4.44+dfsg-5+deb9u1           armhf  OpenLDAP libraries                                           unknown
ii  libldap-common                 2.4.44+dfsg-5+deb9u1           all    OpenLDAP common files for libraries                          unknown
ii  libldb1:armhf                  2:1.1.27-1                     armhf  LDAP-like embedded database - shared library                 GPL-3 LGPL-3
ii  liblightdm-gobject-1-0         1.18.3-1                       armhf  simple display manager (gobject library)                     GPL-2 GPL-3
ii  liblilv-0-0                    0.24.2~dfsg0-1                 armhf  library for simple use of LV2 plugins                        BSD-3-clause ISC
ii  liblirc-client0:armhf          0.9.4c-9                       armhf  infra-red remote control support - client library            GPL-2.0+ MIT
ii  liblivemedia57:armhf           2016.11.28-1+deb9u1            armhf  multimedia RTSP streaming library                            LGPL-2.1+
ii  libllvm3.9:armhf               1:3.9.1-9+rpi1                 armhf  Modular compiler and toolchain technologies, runtime library Apple ARM BSD-3-clause BSD-3-Clause Expat LLVM MIT NCSA Polly public-domain Python U-OF-I-BSD-LIKE U-OF-I-BSD-LIKE or MIT
ii  liblocale-gettext-perl         1.07-3+b1                      armhf  module using libc functions for internationalization in Perl Artistic Artistic or GPL-1+ GPL-1+
ii  liblogging-stdlog0:armhf       1.0.5-2                        armhf  easy to use and lightweight logging library                  BSD-2-Clause
ii  liblognorm5:armhf              2.0.1-1.1                      armhf  log normalizing library                                      Apache-2.0 LGPL-2.1
ii  libltdl7:armhf                 2.4.6-2                        armhf  System independent dlopen wrapper for GNU libtool            GFDL GPL
ii  liblua5.2-0:armhf              5.2.4-1.1                      armhf  Shared library for the Lua interpreter version 5.2           Expat
ii  libluajit-5.1-common           2.0.4+dfsg-1                   all    Just in time compiler for Lua - common files                 MIT/X PD
ii  liblwres141:armhf              1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Lightweight Resolver Library used by BIND                    unknown
ii  liblz4-1:armhf                 0.0~r131-2                     armhf  Fast LZ compression algorithm library - runtime              BSD-2-clause GPL-2+
ii  liblzma5:armhf                 5.2.2-1.2                      armhf  XZ-format compression library                                Autoconf config-h GPL-2 GPL-2+ LGPL-2.1+ noderivs none PD PD-debian permissive-fsf permissive-nowarranty probably-PD
ii  liblzo2-2:armhf                2.08-1.2                       armhf  data compression library                                     GPL-2
ii  libmad0:armhf                  0.15.1b-8+deb9u1               armhf  MPEG audio decoder library                                   GPL
ii  libmagic-mgc                   1:5.30-1+deb9u2                armhf  File type determination library using "magic" numbers (compi BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmagic1:armhf                1:5.30-1+deb9u2                armhf  Recognize the type of data in a file using "magic" numbers - BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmatroska6v5:armhf           1.4.5-2                        armhf  extensible open standard audio/video container format (share GPL-2+ LGPL-2.1 QPL or GPL-2
ii  libmenu-cache-bin              1.0.2-3                        armhf  LXDE implementation of the freedesktop Menu's cache (libexec GPL-3+ LGPL-2.1+
