St  Name                           Version                        Arch   Description                                                  Licenses
ii  debian-reference-en            2.68                           all    Debian system administration guide, English original         GPL-2
ii  debianutils                    4.8.1.1                        armhf  Miscellaneous utilities specific to Debian                   GPL
ii  debootstrap                    1.0.89                         all    Bootstrap a basic Debian system                              unknown
ii  desktop-base                   9.0.2+deb9u1                   all    common files for the Debian Desktop                          GPL-2 GPL-3 LGPL-2.1 LGPL-3
ii  desktop-file-utils             0.23-1                         armhf  Utilities for .desktop files                                 GPL-2+
ii  device-tree-compiler           1.4.4-1                        armhf  Device Tree Compiler for Flat Device Trees                   GPL
ii  dh-python                      2.20170125                     all    Debian helper tools for packaging Python libraries and appli Expat
ii  dhcpcd5                        1:6.11.5-1+rpt7                armhf  DHCPv4, IPv6RA and DHCPv6 client with IPv4LL support         BSD-2
ii  dictionaries-common            1.27.2                         all    spelling dictionaries - common utilities                     GPL-2+ GPL-3+
ii  diffutils                      1:3.5-3                        armhf  File comparison utilities                                    GFDL GPL
ii  dillo                          3.0.5-3                        armhf  Small and fast web browser                                   GPL-3+ GPL-3+ with OpenSSL exception
ii  distro-info-data               0.36                           all    information about the distributions' releases (data files)   ISC
ii  dmidecode                      3.0-4                          armhf  SMBIOS/DMI table decoder                                     GPL-2+
ii  dmsetup                        2:1.02.137-2                   armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  dosfstools                     4.1-1                          armhf  utilities for making and checking MS-DOS FAT filesystems     GPL-3+ public-domain
ii  dphys-swapfile                 20100506-3                     all    Autogenerate and use a swap file                             BSD-3-Clause BSD-3-Clause or GPL-2+ GPL-2+ GPL-3
ii  dpkg                           1.18.25                        armhf  Debian package management system                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  dpkg-dev                       1.18.25                        all    Debian package development tools                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  e2fslibs:armhf                 1.43.4-2                       armhf  ext2/ext3/ext4 file system libraries                         GPL-2 LGPL-2
ii  e2fsprogs                      1.43.4-2                       armhf  ext2/ext3/ext4 file system utilities                         GPL-2 LGPL-2
ii  ed                             1.10-2.1                       armhf  classic UNIX line editor                                     GFDL-1.2 GPL-3
ii  emacsen-common                 2.0.8                          all    Common facilities for all emacsen                            GPL
ii  epiphany-browser               1:3.8.2.0-0rpi28               armhf  Intuitive GNOME web browser                                  GFDL-1.2 GPL-2
ii  epiphany-browser-data          1:3.8.2.0-0rpi28               all    Data files for the GNOME web browser                         GFDL-1.2 GPL-2
ii  esound-common                  0.2.41-11                      all    Enlightened Sound Daemon - Common files                      GPL-2 LGPL-2
ii  fake-hwclock                   0.11+rpt1                      all    Save/restore system clock on machines without working RTC ha GPL-2
ii  fakeroot                       1.21-3.1                       armhf  tool for simulating superuser privileges                     Artistic GPL-3
ii  fbset                          2.1-29                         armhf  framebuffer device maintenance program                       GPL-2
ii  ffmpeg                         7:3.2.12-1~deb9u1+rpt1         armhf  Tools for transcoding, streaming and playing of multimedia f BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  file                           1:5.30-1+deb9u2                armhf  Recognize the type of data in a file using "magic" numbers   BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  findutils                      4.6.0+git+20161106-2           armhf  utilities for finding files--find, xargs                     GFDL-1.3 GPL-3
ii  firmware-atheros               1:20161130-3+rpt4              all    Binary firmware for Atheros wireless cards                   Binary redistribution (Atheros) Binary redistribution (Qualcomm Atheros) Open ath9k HTC firmware
ii  firmware-brcm80211             1:20161130-3+rpt4              all    Binary firmware for Broadcom 802.11 wireless cards           public domain
ii  firmware-libertas              1:20161130-3+rpt4              all    Binary firmware for Marvell wireless cards                   Binary redistribution (Marvell 1) Binary redistribution (Marvell 2)
ii  firmware-misc-nonfree          1:20161130-3+rpt4              all    Binary firmware for various drivers in the Linux kernel      Binary redistribution Binary redistribution (Abilis) Binary redistribution (Chelsio) Binary redistribution (Comtrol) Binary redistribution (Conexant) Binary redistribution (Creative) Binary redistribution (DiBcom) Binary redistribution (ENE) Binary redistribution (Intel) Binary redistribution (Intel, narrower patent license) Binary redistribution (ITEtech) Binary redistribution (Matrox) Binary redistribution (MediaTek) Binary redistribution (Moxa) Binary redistribution (MTS) Binary redistribution (Ralink) Binary redistribution (Terratec) Binary redistribution (Xceive) BSD 2-clause BSD (3Com) BSD 4-clause (Kawasaki LSI) BSD (Agere) BSD (Ikanos) BSD (Intel) License For Customer Use of NVIDIA Software Permissive (Advansys) Permissive (BayCom) Redistributable (Micronas) Redistributable (Sensoray)
ii  firmware-realtek               1:20161130-3+rpt4              all    Binary firmware for Realtek wired/wifi/BT adapters           Binary redistribution (Realtek permissive) Binary redistribution (Realtek restrictive)
ii  fontconfig                     2.11.0-6.7                     armhf  generic font configuration library - support binaries        unknown
ii  fontconfig-config              2.11.0-6.7                     all    generic font configuration library - configuration           unknown
ii  fontconfig-infinality          20130104-0ubuntu0ppa1+rpi1     all    Packages up http://www.infinality.net/fedora/linux/zips/font unknown
ii  fonts-dejavu-core              2.37-1                         all    Vera font family derivate with additional characters         bitstream-vera GPL-2+
ii  fonts-droid-fallback           1:6.0.1r16-1.1                 all    handheld device font with extensive style and language suppo Apache-2
ii  fonts-freefont-ttf             20120503-6                     all    Freefont Serif, Sans and Mono Truetype fonts                 GPL-3
ii  fonts-liberation2              2.00.1-3                       all    Fonts with the same metrics as Times, Arial and Courier (v2) unknown
ii  fonts-noto-mono                20161116-1                     all    "No Tofu" monospaced font family with large Unicode coverage GPL-3+ SIL-1.1
ii  fonts-piboto                   1.2                            all    sans-serif font family released with Android Ice Cream Sandw Apache-2
ii  freepats                       20060219-1                     all    Free patch set for MIDI audio synthesis                      GPL
ii  fuse                           2.9.7-1+deb9u2                 armhf  Filesystem in Userspace                                      GPL-2 GPL-2+ LGPL-2
ii  g++                            4:6.3.0-4                      armhf  GNU C++ compiler                                             GPL
ii  g++-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C++ compiler                                             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  galculator                     2.1.4-1                        armhf  scientific calculator                                        GPL-2+
ii  gcc                            4:6.3.0-4                      armhf  GNU C compiler                                               GPL
ii  gcc-4.6-base:armhf             4.6.4-5+rpi1                   armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.7-base:armhf             4.7.3-11+rpi1                  armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.8-base:armhf             4.8.5-4                        armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.9-base:armhf             4.9.3-14                       armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-5-base:armhf               5.4.1-4                        armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C compiler                                               Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-6-base:armhf               6.3.0-18+rpi1+deb9u1           armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gconf-service                  3.2.6-4                        armhf  GNOME configuration database system (D-Bus service)          LGPL-2
ii  gconf2                         3.2.6-4                        armhf  GNOME configuration database system (support tools)          LGPL-2
ii  gconf2-common                  3.2.6-4                        all    GNOME configuration database system (common files)           LGPL-2
ii  gdb                            7.12-6                         armhf  GNU Debugger                                                 BSD-3-clause GPL-2+ GPL-3+ GPL-3+ with GCC-Runtime-3.1 exception LGPL-2+ LGPL-2.1+
ii  geany                          1.29-1+rpt2                    armhf  fast and lightweight IDE                                     GPL-2+ SciTE-License
ii  geany-common                   1.29-1+rpt2                    all    fast and lightweight IDE -- common files                     GPL-2+ SciTE-License
ii  geoip-database                 20170512-1                     all    IP lookup command line tools that use the GeoIP library (cou OpenDataLicense
ii  gettext-base                   0.19.8.1-2                     armhf  GNU Internationalization utilities for the base system       GFDL GPL LGPL
ii  giblib1:armhf                  1.2.4-11                       armhf  wrapper library for imlib2, and other stuff                  Expat
ii  gir1.2-atk-1.0:armhf           2.22.0-1                       armhf  ATK accessibility toolkit (GObject introspection)            LGPL-2
ii  gir1.2-freedesktop:armhf       1.50.0-1                       armhf  Introspection data for some FreeDesktop components           BSD-2-clause GPL-2+ LGPL-2+ MIT
ii  gir1.2-gdkpixbuf-2.0:armhf     2.36.5-2+deb9u2                armhf  GDK Pixbuf library - GObject-Introspection                   GPL-2 LGPL-2
ii  gir1.2-glib-2.0:armhf          1.50.0-1                       armhf  Introspection data for GLib, GObject, Gio and GModule        BSD-2-clause GPL-2+ LGPL-2+ MIT
ii  gir1.2-gmenu-3.0               3.13.3-9                       armhf  GObject introspection data for the GNOME menu library        GPL-2
ii  gir1.2-gtk-3.0:armhf           3.22.11-1+rpi3                 armhf  GTK+ graphical user interface library -- gir bindings        Apache-2.0 Expat LGPL-2+ LGPL-2.1+ LGPL-2+ or other other
ii  gir1.2-pango-1.0:armhf         1.40.5-1                       armhf  Layout and rendering of internationalized text - gir binding LGPL-2 LGPL-2.1
ii  git                            1:2.11.0-3+deb9u4              armhf  fast, scalable, distributed revision control system          Apache-2.0 Boost BSD-2-clause dlmalloc EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ mingw-runtime
ii  git-man                        1:2.11.0-3+deb9u4              all    fast, scalable, distributed revision control system (manual  Apache-2.0 Boost BSD-2-clause dlmalloc EDL-1.0 Expat GPL-1+ or Artistic-1 GPL-2 GPL-2+ ISC LGPL-2+ LGPL-2.1+ mingw-runtime
ii  gksu                           2.0.2-9                        armhf  graphical front-end to su and sudo                           GPL-2
ii  gldriver-test                  0.1                            armhf  Enable/disable fbturbo when OpenGL driver is used            GPL-2+
ii  glib-networking:armhf          2.50.0-1                       armhf  network-related giomodules for GLib                          LGPL-2+ LGPL-2.1+
ii  glib-networking-common         2.50.0-1                       all    network-related giomodules for GLib - data files             LGPL-2+ LGPL-2.1+
ii  glib-networking-services       2.50.0-1                       armhf  network-related giomodules for GLib - D-Bus services         LGPL-2+ LGPL-2.1+
ii  gnome-desktop3-data            3.22.2-1                       all    Common files for GNOME desktop apps                          Expat LGPL-2+
ii  gnome-icon-theme               3.12.0-2                       all    GNOME Desktop icon theme                                     LGPL-3
ii  gnome-menus                    3.13.3-9                       armhf  GNOME implementation of the freedesktop menu specification   GPL-2
ii  gnome-themes-standard:armhf    3.22.2-2                       armhf  Adwaita GTK+ 2 theme — engine                              LGPL-2.1+
ii  gnome-themes-standard-data     3.22.2-2                       all    Adwaita GTK+ 2 theme — common files                        LGPL-2.1+
ii  gnupg                          2.1.18-8~deb9u3                armhf  GNU privacy guard - a free PGP replacement                   BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ permissive RFC-Reference TinySCHEME
ii  gnupg-agent                    2.1.18-8~deb9u3                armhf  GNU privacy guard - cryptographic agent                      BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ permissive RFC-Reference TinySCHEME
ii  gpgv                           2.1.18-8~deb9u3                armhf  GNU privacy guard - signature verification tool              BSD-3-clause Expat GPL-3+ GPL-3+ or BSD-3-clause LGPL-2.1+ LGPL-3+ permissive RFC-Reference TinySCHEME
ii  gpicview                       0.2.5-2                        armhf  lightweight image viewer                                     GPL-2
ii  grep                           2.27-2                         armhf  GNU grep, egrep and fgrep                                    GPL-3+
ii  groff-base                     1.22.3-9                       armhf  GNU troff text-formatting system (base system components)    GFDL-1.3 GPL-3
ii  gsettings-desktop-schemas      3.22.0-1                       all    GSettings desktop-wide schemas                               LGPL-2.1+
ii  gstreamer0.10-alsa:armhf       0.10.36-2                      armhf  GStreamer plugin for ALSA                                    LGPL
ii  gstreamer0.10-plugins-base:arm 0.10.36-2                      armhf  GStreamer plugins from the "base" set                        LGPL
ii  gstreamer1.0-alsa:armhf        1.10.4-1                       armhf  GStreamer plugin for ALSA                                    LGPL
ii  gstreamer1.0-libav:armhf       1.10.4-1                       armhf  libav plugin for GStreamer                                   LGPL
ii  gstreamer1.0-omx               1.10.4-1+rpt3                  armhf  GStreamer OpenMAX plugins                                    BSD-3-clause GPL-2+ with autoconf exception LGPL-2.1 MIT
ii  gstreamer1.0-omx-rpi           1.10.4-1+rpt3                  armhf  OpenMax plugins for GStreamer                                BSD-3-clause GPL-2+ with autoconf exception LGPL-2.1 MIT
ii  gstreamer1.0-omx-rpi-config    1.10.4-1+rpt3                  armhf  OpenMax plugins for GStreamer                                BSD-3-clause GPL-2+ with autoconf exception LGPL-2.1 MIT
ii  gstreamer1.0-plugins-bad:armhf 1.10.4-1                       armhf  GStreamer plugins from the "bad" set                         LGPL
ii  gstreamer1.0-plugins-base:armh 1.10.4-1                       armhf  GStreamer plugins from the "base" set                        LGPL
ii  gstreamer1.0-plugins-good:armh 1.10.4-1                       armhf  GStreamer plugins from the "good" set                        LGPL
ii  gstreamer1.0-x:armhf           1.10.4-1                       armhf  GStreamer plugins for X11 and Pango                          LGPL
ii  gtk-update-icon-cache          3.22.11-1+rpi3                 armhf  icon theme caching utility                                   Apache-2.0 Expat LGPL-2+ LGPL-2.1+ LGPL-2+ or other other
ii  gtk2-engines:armhf             1:2.20.2-3                     armhf  theme engines for GTK+ 2.x                                   GPL LGPL
ii  gtk2-engines-clearlookspix:arm 1:2.20.7                       armhf  clearlookspix theme for GTK+ 2.x                             GPL LGPL
ii  gtk2-engines-pixbuf:armhf      2.24.31-2                      armhf  pixbuf-based theme for GTK+ 2.x                              LGPL-2
ii  gvfs:armhf                     1.30.4-1                       armhf  userspace virtual filesystem - GIO module                    GPL-2+ GPL-3+ LGPL-2+
